id,english_sentence,category,sentence_type,word_count,length_band,gsl_gloss_1,gsl_gloss_2,gsl_gloss_3,consensus_gloss,annotator_notes,flag_missing_sign
GH0342,They called my name but I did not hear it.,Health & Hospital,statement,10,medium,,,,,,
GH0343,Our landlord is a good man.,Family & Home,statement,6,medium,,,,,,
GH0344,Which school did you attend?,Introductions & Small Talk,question,5,short,,,,,,
GH0345,"There are many mosquitoes in the evening, so sleep under your net every night.",Weather & Environment,statement,14,long,,,,,,
GH0346,"Time is going, let us start now.",Time & Plans,statement,7,medium,,,,,,
GH0347,"The fare has increased again, so now I spend twenty cedis every day on transport.",Transport & Travel,statement,15,long,,,,,,
GH0348,The road to the village is very bad.,Transport & Travel,statement,8,medium,,,,,,
GH0349,Please write down everything the doctor says so that I can read it at home.,Health & Hospital,request_or_command,15,long,,,,,,
GH0350,I am travelling home for the festival next week.,"Church, Mosque & Community",statement,9,medium,,,,,,
GH0351,It is not what I wanted.,Market & Shopping,statement,6,medium,,,,,,
GH0352,Try again.,Requests & Everyday Actions,request_or_command,2,short,,,,,,
GH0353,Why are you worried?,Feelings & Opinions,question,4,short,,,,,,
GH0354,Every morning I wake up at five and leave the house before six thirty.,Time & Plans,statement,14,long,,,,,,
GH0355,Can somebody write it down for me?,Deaf Identity & Communication,question,7,medium,,,,,,
GH0356,I am lost.,Directions & Places,statement,3,short,,,,,,
GH0357,It rained the whole night and the road in front of our house is flooded.,Weather & Environment,statement,15,long,,,,,,
GH0358,We usually eat fufu on Sunday after everybody comes back from church.,Food & Eating,statement,12,long,,,,,,
GH0359,"Since prices went up, my salary is not enough to cover everything at home.",Money & Mobile Money,statement,14,long,,,,,,
GH0360,Did you get an injection?,Health & Hospital,question,5,short,,,,,,
GH0361,Look for the blue gate.,Directions & Places,request_or_command,5,short,,,,,,
GH0362,Please send me the information on WhatsApp because I cannot hear phone calls.,Phone & Technology,request_or_command,13,long,,,,,,
GH0363,Go to the agent and cash out.,Money & Mobile Money,request_or_command,7,medium,,,,,,
GH0364,Wait small.,Requests & Everyday Actions,request_or_command,2,short,,,,,,
GH0365,I always write my stop on my phone for the driver.,Transport & Travel,statement,11,long,,,,,,
GH0366,It is not far.,Directions & Places,statement,4,short,,,,,,
GH0367,The meeting is postponed.,"Church, Mosque & Community",statement,4,short,,,,,,
GH0368,I think I have seen your face before.,Introductions & Small Talk,statement,8,medium,,,,,,
GH0369,I have not eaten anything since this morning.,Food & Eating,statement,8,medium,,,,,,
GH0370,The water is flooding the road again.,Weather & Environment,statement,7,medium,,,,,,
GH0371,Please pay your dues.,Money & Mobile Money,request_or_command,4,short,,,,,,
GH0372,Please greet your mother and father for me.,Greetings & Farewells,request_or_command,8,medium,,,,,,
GH0373,I think we should wait until next week before we make a final decision.,Feelings & Opinions,statement,14,long,,,,,,
GH0374,What do you want to study after school?,School & Education,question,8,medium,,,,,,
GH0375,Why were you angry with me when I was only trying to help you?,Feelings & Opinions,question,14,long,,,,,,
GH0376,Wait for me at the junction.,Directions & Places,request_or_command,6,medium,,,,,,
GH0377,Please explain it again.,School & Education,request_or_command,4,short,,,,,,
GH0378,Are you still in school?,School & Education,question,5,short,,,,,,
GH0379,I came by motorbike.,Transport & Travel,statement,4,short,,,,,,
GH0380,Has anybody informed the members that the meeting has been moved to next Saturday?,"Church, Mosque & Community",question,14,long,,,,,,
GH0381,We should clean the compound before the rain comes.,Weather & Environment,statement,9,medium,,,,,,
GH0382,I wake up at five o'clock every morning.,Time & Plans,statement,8,medium,,,,,,
GH0383,"When I travel to another region, I have to learn some of their local signs.",Deaf Identity & Communication,statement,15,long,,,,,,
GH0384,That is too expensive.,Market & Shopping,statement,4,short,,,,,,
GH0385,The bank is opposite the big church.,Directions & Places,statement,7,medium,,,,,,
GH0386,Why are you angry?,Feelings & Opinions,question,4,short,,,,,,
GH0387,"The interpreter did not come, so we did not understand anything that was said at the meeting.",Deaf Identity & Communication,statement,17,long,,,,,,
GH0388,This soup has too much pepper for me.,Food & Eating,statement,8,medium,,,,,,
GH0389,Go straight down this road and turn left when you reach the traffic light.,Directions & Places,request_or_command,14,long,,,,,,
GH0390,"I am fine, thank you.",Greetings & Farewells,statement,5,short,,,,,,
GH0391,Business is slow today.,Market & Shopping,statement,4,short,,,,,,
GH0392,"Nobody told me, so I felt left out.",Feelings & Opinions,statement,8,medium,,,,,,
GH0393,"When you get to the hospital, tell them that you need an interpreter for the deaf patient.",Health & Hospital,statement,17,long,,,,,,
GH0394,"When you pass the market, you will see a blue kiosk at the corner.",Directions & Places,statement,14,long,,,,,,
GH0395,I was sad when I heard about the accident.,Feelings & Opinions,statement,9,medium,,,,,,
GH0396,"Repeat what you said, I did not see it.",Requests & Everyday Actions,request_or_command,9,medium,,,,,,
GH0397,It is not fair to treat deaf people like that.,Feelings & Opinions,statement,10,medium,,,,,,
GH0398,I will pay you back at the end of the month when my salary comes.,Money & Mobile Money,statement,15,long,,,,,,
GH0399,They will do the outdooring of the baby next Sunday after the morning service.,"Church, Mosque & Community",statement,14,long,,,,,,
GH0400,"Sweep the room, please.",Family & Home,request_or_command,4,short,,,,,,
GH0401,He sleeps very late almost every night.,Time & Plans,statement,7,medium,,,,,,
GH0402,I am feeling much better than yesterday.,Health & Hospital,statement,7,medium,,,,,,
GH0403,You have passed it.,Directions & Places,statement,4,short,,,,,,
GH0404,I feel better now.,Feelings & Opinions,statement,4,short,,,,,,
GH0405,My parents are saving money so that I can continue my education next year.,School & Education,statement,14,long,,,,,,
GH0406,There are many mosquitoes tonight.,Weather & Environment,statement,5,short,,,,,,
GH0407,I think we should wait until next week.,Feelings & Opinions,statement,8,medium,,,,,,
GH0408,The school will close for vacation next Friday and reopen in January.,School & Education,statement,12,long,,,,,,
GH0409,Close it.,Requests & Everyday Actions,request_or_command,2,short,,,,,,
GH0410,Why did you not answer my message?,Requests & Everyday Actions,question,7,medium,,,,,,
GH0411,I gave her one hundred cedis but she has not given me my balance yet.,Market & Shopping,statement,15,long,,,,,,
GH0412,I do not have change.,Market & Shopping,statement,5,short,,,,,,
GH0413,See you later.,Greetings & Farewells,request_or_command,3,short,,,,,,
GH0414,I am really sorry.,Feelings & Opinions,statement,4,short,,,,,,
GH0415,Sit down.,Requests & Everyday Actions,request_or_command,2,short,,,,,,
GH0416,Let me go home before it becomes too dark.,Greetings & Farewells,request_or_command,9,medium,,,,,,
GH0417,Type it and show me on your phone.,Phone & Technology,request_or_command,8,medium,,,,,,
GH0418,The examination will start on Monday next week.,School & Education,statement,8,medium,,,,,,
GH0419,The children should finish their homework before they go out to play.,Family & Home,statement,12,long,,,,,,
GH0420,In our school we sign that word differently.,Deaf Identity & Communication,statement,8,medium,,,,,,
GH0421,I study at the technical school.,School & Education,statement,6,medium,,,,,,
GH0422,The network here is very poor for video calls.,Phone & Technology,statement,9,medium,,,,,,
GH0423,Tell your brother that I asked about him.,Greetings & Farewells,request_or_command,8,medium,,,,,,
GH0424,It is behind the church.,Directions & Places,statement,5,short,,,,,,
GH0425,My name is Ama and I come from Cape Coast.,Introductions & Small Talk,statement,10,medium,,,,,,
GH0426,She said that she will introduce me to the president of the association.,Introductions & Small Talk,statement,13,long,,,,,,
GH0427,Please greet everybody at home for me and tell them I will visit soon.,Greetings & Farewells,request_or_command,14,long,,,,,,
GH0428,Take a photo of us.,Phone & Technology,request_or_command,5,short,,,,,,
GH0429,I am happy to see you.,Greetings & Farewells,statement,6,medium,,,,,,
GH0430,I need your help.,Requests & Everyday Actions,statement,4,short,,,,,,
GH0431,I am diabetic.,Health & Hospital,statement,3,short,,,,,,
GH0432,I feel weak.,Health & Hospital,statement,3,short,,,,,,
GH0433,The room is too small for us.,Family & Home,statement,7,medium,,,,,,
GH0434,I spent all my money on medicine.,Money & Mobile Money,statement,7,medium,,,,,,
GH0435,I will cook the food when I come back.,Family & Home,statement,9,medium,,,,,,
GH0436,Help me with my bag.,Transport & Travel,request_or_command,5,short,,,,,,
GH0437,That price is fair.,Money & Mobile Money,statement,4,short,,,,,,
GH0438,Any other business?,"Church, Mosque & Community",question,3,short,,,,,,
GH0439,Is there an interpreter here today?,Deaf Identity & Communication,question,6,medium,,,,,,
GH0440,Come inside.,Directions & Places,request_or_command,2,short,,,,,,
GH0441,Where are you going?,Directions & Places,question,4,short,,,,,,
GH0442,I will see you again at the meeting on Saturday.,Greetings & Farewells,statement,10,medium,,,,,,
GH0443,The workshop is busy.,Work & Business,statement,4,short,,,,,,
GH0444,When do you think the machine will be repaired so that we can continue?,Work & Business,question,14,long,,,,,,
GH0445,I do not agree.,Feelings & Opinions,statement,4,short,,,,,,
GH0446,I am learning sign language.,Deaf Identity & Communication,statement,5,short,,,,,,
GH0447,Our teacher told us that the examination will begin on Monday at eight o'clock.,School & Education,statement,14,long,,,,,,
GH0448,I am very happy that you passed your examination.,Feelings & Opinions,statement,9,medium,,,,,,
GH0449,Please pass my greetings to everybody at home.,Greetings & Farewells,request_or_command,8,medium,,,,,,
GH0450,"If you see my brother at the station, please tell him that I am waiting.",Greetings & Farewells,statement,15,long,,,,,,
GH0451,Please do not post that video online.,Phone & Technology,request_or_command,7,medium,,,,,,
GH0452,We have sports on Friday.,School & Education,statement,5,short,,,,,,
GH0453,Next month I will travel.,Time & Plans,statement,5,short,,,,,,
GH0454,Send me a message when you get home.,Requests & Everyday Actions,request_or_command,8,medium,,,,,,
GH0455,"I am busy the whole of next week, so let us meet the following Saturday.",Time & Plans,statement,15,long,,,,,,
GH0456,Are you feeling better?,Health & Hospital,question,4,short,,,,,,
GH0457,Are you hungry?,Food & Eating,question,3,short,,,,,,
GH0458,I sell clothes.,Work & Business,statement,3,short,,,,,,
GH0459,I am going to church.,"Church, Mosque & Community",statement,5,short,,,,,,
GH0460,The funeral will be held at the village on Saturday and the burial is at ten.,"Church, Mosque & Community",statement,16,long,,,,,,
GH0461,The market is very crowded on Thursdays.,Market & Shopping,statement,7,medium,,,,,,
GH0462,Where are my shoes?,Family & Home,question,4,short,,,,,,
GH0463,The funeral is on Saturday.,"Church, Mosque & Community",statement,5,short,,,,,,
GH0464,I did not see your message last night because my phone battery was dead.,Phone & Technology,statement,14,long,,,,,,
GH0465,Please write down the address for me so that I do not go to the wrong place.,Requests & Everyday Actions,request_or_command,17,long,,,,,,
GH0466,Is this trotro going to Kaneshie?,Transport & Travel,question,6,medium,,,,,,
GH0467,The interpreter has arrived.,Deaf Identity & Communication,statement,4,short,,,,,,
GH0468,Where is your workshop?,Work & Business,question,4,short,,,,,,
GH0469,The sun is setting.,Weather & Environment,statement,4,short,,,,,,
GH0470,I am in class six.,School & Education,statement,5,short,,,,,,
GH0471,Is the price fixed?,Market & Shopping,question,4,short,,,,,,
GH0472,Deaf people can do any work they are trained for.,Work & Business,statement,10,medium,,,,,,
GH0473,Please send the money through mobile money today.,Money & Mobile Money,request_or_command,8,medium,,,,,,
GH0474,Do not worry about it too much.,Feelings & Opinions,request_or_command,7,medium,,,,,,
GH0475,Can you show me again?,Requests & Everyday Actions,question,5,short,,,,,,
GH0476,I learned tailoring after school.,Work & Business,statement,5,short,,,,,,
GH0477,The food in school is not good.,School & Education,statement,7,medium,,,,,,
GH0478,Well done.,Feelings & Opinions,statement,2,short,,,,,,
GH0479,I do not drink alcohol.,Food & Eating,statement,5,short,,,,,,
GH0480,Can you take me there when you are free?,Directions & Places,question,9,medium,,,,,,
GH0481,I grew up using sign language at school but my family still does not sign well.,Deaf Identity & Communication,statement,16,long,,,,,,
GH0482,The doctor said that I should take the tablets twice a day after eating.,Health & Hospital,statement,14,long,,,,,,
GH0483,Get plenty of rest and drink a lot of water.,Health & Hospital,request_or_command,10,medium,,,,,,
GH0484,"Sorry, I am late.",Time & Plans,statement,4,short,,,,,,
GH0485,Let us meet at four o'clock.,Time & Plans,request_or_command,6,medium,,,,,,
GH0486,What is your name?,Introductions & Small Talk,question,4,short,,,,,,
GH0487,Is there an interpreter in your church?,"Church, Mosque & Community",question,7,medium,,,,,,
GH0488,Come and eat.,Family & Home,request_or_command,3,short,,,,,,
GH0489,Wave your hand so I can see you.,Deaf Identity & Communication,statement,8,medium,,,,,,
GH0490,I understand now.,School & Education,statement,3,short,,,,,,
GH0491,Why is it so hot today?,Weather & Environment,question,6,medium,,,,,,
GH0492,Ask them to give you a receipt.,Money & Mobile Money,request_or_command,7,medium,,,,,,
GH0493,The phone is not working.,Phone & Technology,statement,5,short,,,,,,
GH0494,Our group is raising funds for the deaf school.,"Church, Mosque & Community",statement,9,medium,,,,,,
GH0495,I cannot see your hands well.,Phone & Technology,statement,6,medium,,,,,,
GH0496,Is the road to Tamale still bad?,Transport & Travel,question,7,medium,,,,,,
GH0497,Many deaf people feel frustrated when nobody explains what is happening around them.,Feelings & Opinions,statement,13,long,,,,,,
GH0498,Please do not cover your mouth.,Deaf Identity & Communication,request_or_command,6,medium,,,,,,
GH0499,I read lips a little.,Deaf Identity & Communication,statement,5,short,,,,,,
GH0500,The mosquitoes are very many this season.,Weather & Environment,statement,7,medium,,,,,,
GH0501,Please knock before entering.,Family & Home,request_or_command,4,short,,,,,,
GH0502,Did the doctor examine you?,Health & Hospital,question,5,short,,,,,,
GH0503,I have not eaten since morning.,Food & Eating,statement,6,medium,,,,,,
GH0504,Keep the change.,Market & Shopping,request_or_command,3,short,,,,,,
GH0505,Our teacher can sign very well.,School & Education,statement,6,medium,,,,,,
GH0506,I agree with you.,Feelings & Opinions,statement,4,short,,,,,,
GH0507,Go straight and turn left at the traffic light.,Directions & Places,request_or_command,9,medium,,,,,,
GH0508,The pastor preached well.,"Church, Mosque & Community",statement,4,short,,,,,,
GH0509,How many members attended last month?,"Church, Mosque & Community",question,6,medium,,,,,,
GH0510,The wedding is next month and the whole association has been invited to attend.,"Church, Mosque & Community",statement,14,long,,,,,,
GH0511,I did not know you were also coming here.,Greetings & Farewells,statement,9,medium,,,,,,
GH0512,"Safe journey, and message me when you reach home.",Greetings & Farewells,statement,9,medium,,,,,,
GH0513,Let us use a ride app.,Transport & Travel,request_or_command,6,medium,,,,,,
GH0514,Take the second turning.,Directions & Places,request_or_command,4,short,,,,,,
GH0515,"Bring a spoon, please.",Food & Eating,request_or_command,4,short,,,,,,
GH0516,I was soaked by the rain.,Weather & Environment,statement,6,medium,,,,,,
GH0517,We always eat together on Sunday afternoon.,Food & Eating,statement,7,medium,,,,,,
GH0518,"My insurance card expired last month, so I had to pay cash for the medicine.",Health & Hospital,statement,15,long,,,,,,
GH0519,There is a sign language interpreter in church.,"Church, Mosque & Community",statement,8,medium,,,,,,
GH0520,My battery is low.,Phone & Technology,statement,4,short,,,,,,
GH0521,The water has stopped running.,Family & Home,statement,5,short,,,,,,
GH0522,When are you coming?,Time & Plans,question,4,short,,,,,,
GH0523,Tell the children that they must not play near the fire in the kitchen.,Family & Home,request_or_command,14,long,,,,,,
GH0524,Share it with the group.,Phone & Technology,request_or_command,5,short,,,,,,
GH0525,My workshop is close to the main road.,Work & Business,statement,8,medium,,,,,,
GH0526,Our church has an interpreter for the deaf members.,"Church, Mosque & Community",statement,9,medium,,,,,,
GH0527,Help me carry these bags to the car.,Market & Shopping,request_or_command,8,medium,,,,,,
GH0528,"My phone battery is low, I need to charge it.",Phone & Technology,statement,10,medium,,,,,,
GH0529,Write it down so I will not forget.,Requests & Everyday Actions,request_or_command,8,medium,,,,,,
GH0530,The door is locked.,Directions & Places,statement,4,short,,,,,,
GH0531,How is the family?,Greetings & Farewells,question,4,short,,,,,,
GH0532,I like to travel and meet new people.,Introductions & Small Talk,statement,8,medium,,,,,,
GH0533,We are planning a programme for deaf awareness week.,"Church, Mosque & Community",statement,9,medium,,,,,,
GH0534,Do you want some more?,Food & Eating,question,5,short,,,,,,
GH0535,I go every month.,Introductions & Small Talk,statement,4,short,,,,,,
GH0536,How much is the fare?,Transport & Travel,question,5,short,,,,,,
GH0537,The queue at the bank is long.,Money & Mobile Money,statement,7,medium,,,,,,
GH0538,Do you understand me?,Deaf Identity & Communication,question,4,short,,,,,,
GH0539,Cheer up.,Feelings & Opinions,request_or_command,2,short,,,,,,
GH0540,They will do the outdooring of the baby on Sunday.,"Church, Mosque & Community",statement,10,medium,,,,,,
GH0541,Can your teacher sign well?,School & Education,question,5,short,,,,,,
GH0542,Wear a mask in the ward.,Health & Hospital,request_or_command,6,medium,,,,,,
GH0543,I felt alone because I could not follow the conversation.,Feelings & Opinions,statement,10,medium,,,,,,
GH0544,He owes me money.,Money & Mobile Money,statement,4,short,,,,,,
GH0545,The school is on vacation.,School & Education,statement,5,short,,,,,,
GH0546,Do you know sign language?,Deaf Identity & Communication,question,5,short,,,,,,
GH0547,"They called my name three times but I did not hear it, so I missed my turn.",Health & Hospital,statement,17,long,,,,,,
GH0548,The doctor will see you now.,Health & Hospital,statement,6,medium,,,,,,
GH0549,I stay at Madina.,Introductions & Small Talk,statement,4,short,,,,,,
GH0550,"When I finish senior high school, I want to learn tailoring or carpentry.",School & Education,statement,13,long,,,,,,
GH0551,The rain stopped us from going to the meeting.,Weather & Environment,statement,9,medium,,,,,,
GH0552,The market is crowded today.,Market & Shopping,statement,5,short,,,,,,
GH0553,Please tell the members about the change of date.,"Church, Mosque & Community",request_or_command,9,medium,,,,,,
GH0554,Can you help me?,Requests & Everyday Actions,question,4,short,,,,,,
GH0555,We have not seen each other since last year.,Greetings & Farewells,statement,9,medium,,,,,,
GH0556,Many deaf people from other regions will come for the celebration next week.,"Church, Mosque & Community",statement,13,long,,,,,,
GH0557,Why is the video not clear?,Phone & Technology,question,6,medium,,,,,,
GH0558,Give the book back to me tomorrow.,Requests & Everyday Actions,request_or_command,7,medium,,,,,,
GH0559,My boss knows a little sign language.,Work & Business,statement,7,medium,,,,,,
GH0560,The pastor asked us to pray for the sick.,"Church, Mosque & Community",statement,9,medium,,,,,,
GH0561,Please show me the way to the police station.,Directions & Places,request_or_command,9,medium,,,,,,
GH0562,I have finished washing.,Family & Home,statement,4,short,,,,,,
GH0563,I want to open my own shop one day.,Work & Business,statement,9,medium,,,,,,
GH0564,Push the door.,Requests & Everyday Actions,request_or_command,3,short,,,,,,
GH0565,Go straight.,Directions & Places,request_or_command,2,short,,,,,,
GH0566,The delivery is delayed.,Work & Business,statement,4,short,,,,,,
GH0567,What do you want to do after you complete senior high school next year?,School & Education,question,14,long,,,,,,
GH0568,My first born is a girl.,Family & Home,statement,6,medium,,,,,,
GH0569,"I saved your number, so message me anytime you need something.",Phone & Technology,statement,11,long,,,,,,
GH0570,The road to the village is so bad that the journey now takes four hours.,Transport & Travel,statement,15,long,,,,,,
GH0571,He came all the way from Ho to see me.,Transport & Travel,statement,10,medium,,,,,,
GH0572,The fare is five cedis.,Transport & Travel,statement,5,short,,,,,,
GH0573,Are you coming to the meeting on Saturday?,"Church, Mosque & Community",question,8,medium,,,,,,
GH0574,I am coughing a lot.,Health & Hospital,statement,5,short,,,,,,
GH0575,Why did nobody tell me the visitors were coming?,Family & Home,question,9,medium,,,,,,
GH0576,Welcome home.,Greetings & Farewells,request_or_command,2,short,,,,,,
GH0577,We are practising for the inter school competition.,School & Education,statement,8,medium,,,,,,
GH0578,Please come again.,Greetings & Farewells,request_or_command,3,short,,,,,,
GH0579,We are contributing money to help the family with the funeral expenses.,"Church, Mosque & Community",statement,12,long,,,,,,
GH0580,Sign language is a real language.,Deaf Identity & Communication,request_or_command,6,medium,,,,,,
GH0581,"You have passed the place, come back small.",Directions & Places,statement,8,medium,,,,,,
GH0582,Please tell the driver I am deaf.,Transport & Travel,request_or_command,7,medium,,,,,,
GH0583,I want to continue to senior high school.,School & Education,statement,8,medium,,,,,,
GH0584,It is next to the pharmacy.,Directions & Places,statement,6,medium,,,,,,
GH0585,I am the second born in my family.,Introductions & Small Talk,statement,8,medium,,,,,,
GH0586,He completed the school for the deaf and now he is studying at the university.,School & Education,statement,15,long,,,,,,
GH0587,When will you pay me back?,Money & Mobile Money,question,6,medium,,,,,,
GH0588,My results were good.,School & Education,statement,4,short,,,,,,
GH0589,I want to withdraw money.,Money & Mobile Money,statement,5,short,,,,,,
GH0590,Please give me some water.,Food & Eating,request_or_command,5,short,,,,,,
GH0591,I am a carpenter.,Work & Business,statement,4,short,,,,,,
GH0592,Let us walk together.,Transport & Travel,request_or_command,4,short,,,,,,
GH0593,I am from Accra.,Introductions & Small Talk,statement,4,short,,,,,,
GH0594,I will send you the location on WhatsApp.,Directions & Places,statement,8,medium,,,,,,
GH0595,Yesterday I was busy.,Time & Plans,statement,4,short,,,,,,
GH0596,"Fingerspell it slowly, please.",Deaf Identity & Communication,statement,4,short,,,,,,
GH0597,Which road leads to the hospital?,Directions & Places,question,6,medium,,,,,,
GH0598,The road is bad.,Transport & Travel,statement,4,short,,,,,,
GH0599,I am fasting today.,Food & Eating,statement,4,short,,,,,,
GH0600,Do you know what time the last car to Kasoa leaves the station?,Transport & Travel,question,13,long,,,,,,
GH0601,I want to deposit money.,Money & Mobile Money,statement,5,short,,,,,,
GH0602,How is everybody at home?,Greetings & Farewells,question,5,short,,,,,,
GH0603,Message me when you arrive.,Time & Plans,statement,5,short,,,,,,
GH0604,I am very hungry.,Food & Eating,statement,4,short,,,,,,
GH0605,Let us go and eat at the chop bar.,Food & Eating,request_or_command,9,medium,,,,,,
GH0606,Open your book to page ten.,School & Education,request_or_command,6,medium,,,,,,
GH0607,"Did the doctor write down the instructions, or do we have to ask again?",Health & Hospital,question,14,long,,,,,,
GH0608,Everybody in the community knows him very well.,Introductions & Small Talk,statement,8,medium,,,,,,
GH0609,Everything in the market has become expensive since the beginning of this year.,Market & Shopping,statement,13,long,,,,,,
GH0610,Do you have a charger?,Phone & Technology,question,5,short,,,,,,
GH0611,I want to learn a trade.,School & Education,statement,6,medium,,,,,,
GH0612,Why did nobody tell me about the change?,Deaf Identity & Communication,question,8,medium,,,,,,
GH0613,The dust is too much.,Weather & Environment,statement,5,short,,,,,,
GH0614,I am going to town.,Transport & Travel,statement,5,short,,,,,,
GH0615,It is half past three.,Time & Plans,statement,5,short,,,,,,
GH0616,I will send you my number on WhatsApp.,Money & Mobile Money,statement,8,medium,,,,,,
GH0617,The woman sitting near the door is the one who organised this programme.,Introductions & Small Talk,statement,13,long,,,,,,
GH0618,I missed the announcement at the station because there was nobody to sign it for me.,Transport & Travel,statement,16,long,,,,,,
GH0619,The weather has been strange this whole year.,Weather & Environment,statement,8,medium,,,,,,
GH0620,I bought this dress for my sister's wedding.,Market & Shopping,statement,8,medium,,,,,,
GH0621,"The interpreter did not come, so we missed everything.",Deaf Identity & Communication,statement,9,medium,,,,,,
GH0622,Is there any food left in the pot?,Food & Eating,question,8,medium,,,,,,
GH0623,The fish they sold me was not fresh.,Food & Eating,statement,8,medium,,,,,,
GH0624,"Please explain it again slowly, because I did not follow the last part.",Requests & Everyday Actions,request_or_command,13,long,,,,,,
GH0625,It is beside the market.,Directions & Places,statement,5,short,,,,,,
GH0626,Please put the clothes on the line.,Family & Home,request_or_command,7,medium,,,,,,
GH0627,When does the examination start?,School & Education,question,5,short,,,,,,
GH0628,Write down what the doctor says.,Health & Hospital,request_or_command,6,medium,,,,,,
GH0629,"If you are going to the junction, please buy me waakye with fish and gari.",Food & Eating,statement,15,long,,,,,,
GH0630,Do you think we should take an umbrella?,Weather & Environment,question,8,medium,,,,,,
GH0631,The station is opposite the bank.,Transport & Travel,statement,6,medium,,,,,,
GH0632,My uncle who lives in Tamale is coming to stay with us for two weeks.,Family & Home,statement,15,long,,,,,,
GH0633,Many deaf people will come for the celebration.,"Church, Mosque & Community",statement,8,medium,,,,,,
GH0634,Call the technician.,Work & Business,request_or_command,3,short,,,,,,
GH0635,Did they write down what the doctor said?,Health & Hospital,question,8,medium,,,,,,
GH0636,"If there is any food left in the pot, keep some for your brother.",Food & Eating,statement,14,long,,,,,,
GH0637,I have been waiting here since two o'clock and nobody has come yet.,Time & Plans,statement,13,long,,,,,,
GH0638,What day is today?,Time & Plans,question,4,short,,,,,,
GH0639,"My mother is cooking banku and okro stew, so come home early this evening.",Food & Eating,statement,14,long,,,,,,
GH0640,The tomatoes are fresh.,Market & Shopping,statement,4,short,,,,,,
GH0641,Where is the police station?,Directions & Places,question,5,short,,,,,,
GH0642,I am standing near the traffic light.,Directions & Places,statement,7,medium,,,,,,
GH0643,"I am deaf, so please write it on paper if I do not understand you.",Deaf Identity & Communication,statement,15,long,,,,,,
GH0644,"Thank you for your time, I appreciate it.",Greetings & Farewells,statement,8,medium,,,,,,
GH0645,Let me get you a chair.,Greetings & Farewells,request_or_command,6,medium,,,,,,
GH0646,Remind me tomorrow morning about the meeting because I always forget these things.,Requests & Everyday Actions,request_or_command,13,long,,,,,,
GH0647,The trotro was full so I waited for another one.,Transport & Travel,statement,10,medium,,,,,,
GH0648,Count the money before you leave the counter.,Money & Mobile Money,request_or_command,8,medium,,,,,,
GH0649,"I cannot see your hands, move the camera back.",Phone & Technology,statement,9,medium,,,,,,
GH0650,Please check whether the door is properly locked before you go to bed.,Requests & Everyday Actions,request_or_command,13,long,,,,,,
GH0651,I am just looking.,Market & Shopping,statement,4,short,,,,,,
GH0652,The burial is at ten.,"Church, Mosque & Community",statement,5,short,,,,,,
GH0653,Please move small so I can pass.,Requests & Everyday Actions,request_or_command,7,medium,,,,,,
GH0654,Will you come again tomorrow?,Greetings & Farewells,question,5,short,,,,,,
GH0655,We will fix a new date and tell everybody.,Time & Plans,statement,9,medium,,,,,,
GH0656,Do you think that is fair?,Feelings & Opinions,question,6,medium,,,,,,
GH0657,Can you lend me some money?,Money & Mobile Money,question,6,medium,,,,,,
GH0658,"I am leaving now, but I will come back.",Greetings & Farewells,statement,9,medium,,,,,,
GH0659,"Say that again, I did not catch it.",Deaf Identity & Communication,request_or_command,8,medium,,,,,,
GH0660,My father is at work.,Family & Home,statement,5,short,,,,,,
GH0661,"Sorry, I am running late because of traffic.",Time & Plans,statement,8,medium,,,,,,
GH0662,When is the funeral?,"Church, Mosque & Community",question,4,short,,,,,,
GH0663,Can I return it?,Market & Shopping,question,4,short,,,,,,
GH0664,The agent said there is no cash today.,Money & Mobile Money,statement,8,medium,,,,,,
GH0665,My grandfather is very old now.,Family & Home,statement,6,medium,,,,,,
GH0666,There is a community meeting.,"Church, Mosque & Community",statement,5,short,,,,,,
GH0667,I did not know that you also went to the school for the deaf at Mampong.,Introductions & Small Talk,statement,16,long,,,,,,
GH0668,The woman who sells vegetables near the gate is very patient with deaf customers.,Market & Shopping,statement,14,long,,,,,,
GH0669,What work do you do?,Introductions & Small Talk,question,5,short,,,,,,
GH0670,The gutter is choked.,Weather & Environment,statement,4,short,,,,,,
GH0671,Wash your hands often.,Health & Hospital,request_or_command,4,short,,,,,,
GH0672,I am feeling better now.,Health & Hospital,statement,5,short,,,,,,
GH0673,Do you agree with me?,Feelings & Opinions,question,5,short,,,,,,
GH0674,"The video has no captions, so I missed everything.",Phone & Technology,statement,9,medium,,,,,,
GH0675,I am worried.,Feelings & Opinions,statement,3,short,,,,,,
GH0676,The network is poor here.,Phone & Technology,statement,5,short,,,,,,
GH0677,The dormitory is crowded with many students.,School & Education,statement,7,medium,,,,,,
GH0678,Have you taken your medicine?,Health & Hospital,question,5,short,,,,,,
GH0679,The food is burning.,Food & Eating,statement,4,short,,,,,,
GH0680,The lights are back on.,Family & Home,statement,5,short,,,,,,
GH0681,Do you go for the deaf meetings?,Introductions & Small Talk,question,7,medium,,,,,,
GH0682,Be careful.,Requests & Everyday Actions,request_or_command,2,short,,,,,,
GH0683,The chief is coming.,"Church, Mosque & Community",statement,4,short,,,,,,
GH0684,Everybody should attend the meeting this weekend.,"Church, Mosque & Community",statement,7,medium,,,,,,
GH0685,I forgot my PIN.,Money & Mobile Money,statement,4,short,,,,,,
